id,type_jp,media,governance,time_horizon,variability,access,power_orientation,energy
1,宗教的装置,Solid/Fluid,Hierarchical,Long/Deep,Fixed/Evolutionary,Regulated,Centralized,Mid (2)
2,芸術的装置,Solid/Fluid/Digital,Polycentric,Mid (2)/Long,Evolutionary,Public/Regulated,Networked,Mid (2)
3,企業・組織装置,Infra,Hierarchical/Poly,Mid (2)/Long,Versioned,Regulated,Centralized,Mid (2)
4,法制度装置,Solid/Digital,Hierarchical,Long,Fixed/Versioned,Public/Regulated,Centralized,Mid (2)
5,科学的装置,Solid/Digital,Polycentric,Long,Versioned,Public/Regulated,Networked,Mid (2)
6,デジタルネットワーク装置,Digital,Distributed/Autonomous,Long,Fixed→Fork,Public,Distributed,High (3)
7,生物・生態装置,Bio,Hierarchical,Deep,Versioned,Restricted,Centralized,High (3)
8,都市・建築装置,Infra,Hierarchical,Long,Evolutionary,Regulated,Centralized,High (3)
9,経済・金融装置,Digital/Infra,Hierarchical,Mid (2)/Long,Versioned,Regulated,Centralized,Mid (2)
10,教育・技能装置,Fluid/Infra,Hierarchical,Mid (2)/Long,Evolutionary,Public/Regulated,Centralized,Mid (2)
11,言語・文化装置,Fluid/Solid,Polycentric,Deep,Evolutionary,Public,Networked,Low (1)
12,メディア装置,Solid/Digital,Polycentric,Long,Versioned,Public,Networked,Mid (2)
13,AI／データ装置,Digital,Autonomous,Long,Versioned,Public/Regulated,Distributed,High (3)
14,宇宙装置,Solid/Digital,Autonomous,Deep,Fixed,Public,Distributed,High (3)
15,時間カプセル装置,Solid/Digital,Autonomous,Deep,Fixed,Public/Restricted,Distributed,Mid (2)
16,保険・リスク装置,Digital,Hierarchical,Mid (2)/Long,Versioned,Regulated,Centralized,Mid (2)
17,NGO・国際組織装置,Infra,Polycentric,Long,Versioned,Public,Networked,Mid (2)
18,エコロジカル装置,Bio/Infra,Polycentric,Long/Deep,Evolutionary,Regulated,Networked,Mid (2)
19,身体・医療装置,Bio/Digital,Hierarchical,Mid (2)/Long,Versioned,Restricted,Centralized,High (3)
20,社会デジタル儀礼装置,Digital/Fluid,Distributed,Ephemeral/Mid (2),Evolutionary,Public,Networked,Low (1)
21,ゲーム・仮想世界装置,Digital,Autonomous,Mid (2),Versioned,Public,Distributed,High (3)
22,音声・音楽装置,Solid/Digital,Polycentric,Long,Versioned,Public,Networked,Mid (2)
23,環境データ装置,Solid/Digital,Polycentric,Deep,Versioned,Public,Networked,Mid (2)
24,コミュニティ慣習装置,Fluid,Polycentric,Long,Evolutionary,Public,Networked,Low (1)
25,試験・評価装置,Digital,Hierarchical,Mid (2),Versioned,Regulated,Centralized,Mid (2)
